名称,所在地,緯度,経度,電話
光が丘さくら幼稚園,練馬区光が丘2-4-8-101,35.76267834,139.6318626,03-3976-2562
光が丘むらさき幼稚園,練馬区光が丘3-3-5-101,35.75592202,139.6297159,03-3976-7221
北大泉幼稚園,練馬区大泉町2-46-6,35.76292525,139.6034281,03-3925-6092
